Move,Icon,Attribute,Type,SP Cost,Power,Inheritable
Acceleration Boost,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Adhesive Bubble Blow,Icons/Moves/plant-icon.png,Plant,Physical,2,25,No
Agility Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Aguichant Lèvres,Icons/Moves/light-icon.png,Light,Magic,40,0,No
Air Bubbles,Icons/Moves/water-icon.png,Water,Magic,2,30,No
Air Shot,Icons/Moves/wind-icon.png,Wind,Magic,5,50,No
Ambush Crunch,Icons/Moves/neutral-icon.png,Neutral,Physical,10,90,No
Amethyst Mandala,Icons/Moves/light-icon.png,Light,Magic,20,70,No
Animal Nail,Icons/Moves/earth-icon.png,Earth,Physical,15,115,No
Anti-Bug,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Anti-Panic,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Anti-Paralysis,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Anti-Poison,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Anti-Sleep,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Anti-Stun,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Antidote,Icons/Moves/support-icon.png,Neutral,Support,4,0,No
Arctic Blizzard,Icons/Moves/water-icon.png,Water,Physical,20,125,No
Atomic Blaster,Icons/Moves/electric-icon.png,Electric,Physical,15,250,No
Atomic Ray,Icons/Moves/electric-icon.png,Electric,Physical,20,125,No
Attack Break,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Attack Break Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,No
Attack Charge,Icons/Moves/support-enhancement-icon.png,Neutral,Support,6,0,No
Attack Charge Field,Icons/Moves/support-enhancement-icon.png,Neutral,Support,20,0,No
Aura,Icons/Moves/support-icon.png,Neutral,Support,10,0,No
Aurora Blaster,Icons/Moves/light-icon.png,Light,Magic,25,120,No
Aurora Undulation,Icons/Moves/light-icon.png,Light,Magic,20,80,No
Awesome Quake I,Icons/Moves/earth-icon.png,Earth,Physical,4,30,No
Awesome Quake II,Icons/Moves/earth-icon.png,Earth,Physical,7,45,No
Awesome Quake III,Icons/Moves/earth-icon.png,Earth,Physical,10,75,No
Baby Breath,Icons/Moves/fire-icon.png,Fire,Physical,5,75,No
Banana Slip,Icons/Moves/dark-icon.png,Dark,Magic,20,115,No
Bantyo Blade,Icons/Moves/neutral-icon.png,Neutral,Physical,20,150,No
Berserk Sword,Icons/Moves/neutral-icon.png,Neutral,Direct,15,0,No
Bifrost,Icons/Moves/light-icon.png,Light,Magic,25,120,No
